singleMolecule
,3-21g,,6-311g,,cc-pVDZ,,cc-pVTZ,,aug-cc-pVDZ,,,,,,,,,,,,,,,,,
,reactant,product,reactant,product,reactant,product,reactant,product,reactant,product
1,-841.3348431341095,-842.4463330060794,-845.8046403700757,-846.9048054137412,-845.8901968206966,-847.0083251110401,-846.1820995392609,-847.3109954593251,-845.9047183951848,-847.0626967258687
2,None,-842.105942178188,None,-846.6412142781118,None,-846.820870318347,None,-847.2045003288392,None,-846.9114376406349
3,-840.7884238574253,-841.8614610406141,-845.3750028548307,-846.4528491994749,-845.5804075310767,-846.6826906288662,-846.0247999562496,-847.1395191474655,-845.6000949280507,None
4,-840.501607660431,-841.5619016031587,-845.155365163852,-846.2151506334569,-845.4271262946792,-846.5115494757127,-845.9636486811862,-847.0525683252154,-845.4874691370601,-846.6041387738601
5,-840.2431060047988,-841.3121970312907,-844.9481238188466,-846.0234979102454,-845.2717723366184,-846.3699466252186,-845.8942408516442,-846.9854697159119,-845.3604924111655,-846.4584606428357
6,-839.9538662188938,-841.0182564474076,-844.7167635673948,-845.7857599784293,-845.1156139122427,-846.2002511854173,-845.8086370462916,-846.9009528043696,-845.2146633685977,-846.30815622625
7,-839.6988813026431,-840.7654565968286,-844.5235992723782,-845.5936450285658,-844.9669701951589,-846.0590781915171,None,None,-845.0694554310361,-846.1654114328503
8,-839.4047925129004,-840.4715269876705,-844.2937818151383,None,-844.8038986886503,-845.8935625377616,None,None,None,None
9,-839.1529839001345,-840.2193779780722,-844.0972246806176,-845.167302409754,-844.659361019209,-845.7500270789811,None,None,None,None
10,-838.862456410819,-839.9732919398701,-843.8672354417016,-844.9810980745809,-844.4900414776599,-845.6190597279285,None,None,None,None
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,

