singleMolecule
,3-21g,,6-311g,,cc-pVDZ,,cc-pVTZ,,aug-cc-pVDZ,,aug-cc-pVTZ,,,,,,,,,,,,,,,,
,reactant,product,reactant,product,reactant,product,reactant,product,reactant,product,reactant,product
1,-841.3348431341012,-842.4463329963373,-845.8046403699442,-846.9048057110914,-845.8901968206924,-847.0083251112983,-846.1820995393825,-847.3448974242478,-845.9455902542223,-847.0951479299962,None,None
2,None,-842.1059421781919,None,-846.6412142769329,None,-846.8208703183566,None,-847.2045003290749,None,-846.8928736626156,None,None
3,-840.7884238574237,-841.8614610406066,-845.3750028548492,-846.4528491981216,-845.5804075311032,-846.6826906288647,-846.0247999564587,-847.1395192848082,-845.6388703968253,-846.7534696570344,None,None
4,-840.5016076604295,-841.5619016031627,-845.1553651639265,-846.2151506344812,-845.4271262945672,-846.5115494741528,-845.9636487411252,-847.0525683252972,-845.4874691371588,-846.5976119211896,None,None
5,-840.2431060047963,-841.3121970312975,-844.9481238188448,-846.0234979103711,-845.2717723335478,-846.369946625241,-845.8835751855129,-846.9854697166979,-845.3604924303859,-846.4584606426085,None,None
6,-839.9538662188999,-841.018256447459,-844.7167635674381,-845.7920934144917,-845.1156139123416,-846.2002511853916,None,None,-845.214663370117,-846.3081564247523,None,None
7,-839.6988813026445,-840.76545659683,-844.5235992724149,-845.5936450286374,-844.966970195153,-846.0590781914954,None,None,-845.069455431238,None,None,None
8,-839.4047925129067,-840.4715269876731,-844.2937818157199,-845.3656173185116,-844.8038986886486,-845.8935625377709,None,None,None,None,None,None
9,-839.1529839001341,-840.2193779780733,-844.0972246806417,-845.1673024097619,-844.6593610192064,-845.7500270789831,None,None,None,None,None,None
10,-838.8624564108193,-839.9732919398667,-843.8672354417427,-844.9810980745834,-844.4900414717143,-845.6190597287226,None,None,None,None,None,None
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,

