D0
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0938613448322,None,-471.12876192502813,None
3,-470.99453348591805,-471.27677247709755,-471.03161613973447,None
4,-470.89692595926124,-471.2204702543814,-470.93842195549684,None
5,-470.79980002043715,-471.16402170663423,-470.8456805103536,None
6,-470.7028725535327,-471.1049220351572,-470.75403647508807,None
7,-470.6032245943188,-471.0552628530671,-470.6627793566756,None
8,-470.51063001267124,-470.9993802786717,-470.57177172853653,None
9,-470.4138692443297,-470.9453910850264,-470.4834376584078,None
10,-470.3168822338668,-470.87967974500043,-470.38524904474144,None
11,-470.20557490679994,-470.79668969500307,-470.28455019017645,None
12,None,None,None,None

D15
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.09083868488375,-471.332859588714,-471.1259997134784,None
3,-470.99186393640645,-471.27417859062473,-471.028955949021,None
4,-470.8942450744805,-471.2176498241718,-470.9355744380646,None
5,-470.7976138068085,-471.16123542568704,-470.8430700677374,None
6,-470.70018866477824,-471.1021062236702,-470.7512111914946,None
7,-470.60040050577,-471.0525172602014,-470.65963129734894,None
8,-470.50794492205733,-470.9966437158016,-470.5686014055041,None
9,-470.41120029228586,-470.9424195161094,-470.4799010190588,None
10,-470.31400264679394,-470.8775590063834,-470.3834741834319,None
11,-470.20275021982263,-470.79369404133035,-470.2812977974098,None
12,None,None,None,None

D30
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0833665338914,-471.3252808762919,-471.1186155828607,None
3,-470.98438783071805,-471.26641764281044,-471.0215812921056,None
4,-470.8871086379837,-471.20979550096524,-470.92816061629793,None
5,-470.78964545524,-471.15360732859585,-470.8356485426384,None
6,-470.69271033161056,-471.09455958069316,-470.74373124256545,None
7,-470.59291979467633,-471.0448671353098,-470.6520592034852,None
8,-470.50045992366,-470.98895351137986,-470.56095830243146,None
9,-470.40371269625444,-470.93468656487534,-470.4715965902497,None
10,-470.3064504855489,-470.8722383881718,-470.37747459553304,None
11,-470.19529203963367,-470.78588802761436,-470.2724977849989,None
12,None,None,None,None

D45
,cc-pVDZ,cc-pVTZ,aug-cc-pVDZ,aug-cc-pVTZ
1,None,None,None,None
2,-471.0715411434032,-471.3129836850831,-471.10650323980883,None
3,-470.97220993253944,-471.254124169668,-471.0094497290754,None
4,-470.8749286573127,-471.1974629860837,-470.91596274942845,None
5,-470.7779542198559,-471.14138409746704,-470.8233906316048,None
6,-470.6791378075318,-471.08229754779836,-470.73152753700435,None
7,-470.58088506406085,-471.0326234097717,-470.63986753361104,None
8,None,-470.97669791329156,-470.54859050327906,None
9,None,-470.9223301381956,-470.459254728067,None
10,-470.29431410309274,-470.86313432334686,-470.36683186130904,None
11,-470.18314956129655,-470.77280369711406,-470.258302238541,None
12,None,None,None,None

D60
